<trait>;Environment;YLD_HN;PHT_HN;ASI_HN;ANT_HN;SLK_HN;YLD_LN;PHT_LN;ASI_LN;ANT_LN;SIL_LN;YLD_DIFF
BGEM-0001-N/PHB47;Testcross_Ames2015A;7.41;365.91;-3.55;742.64;736.51;4.26;272.6;14.69;793.15;803.51;3.15
BGEM-0003-N/PHB47;Testcross_Ames2015A;10.4;348.45;-0.07;754.76;754.71;3.17;248.03;20.78;831.37;851.4;7.23
BGEM-0005-N/PHB47;Testcross_Ames2015A;7.06;294.15;-8.08;796.92;783.49;2.65;220.57;14.99;831.37;840.11;4.41
BGEM-0006-S/PHZ51;Testcross_Ames2015A;8.57;348.45;-3.63;754.76;748.6;3.63;255.25;17.01;787.48;802.69;4.95
BGEM-0008-S/PHZ51;Testcross_Ames2015A;6.11;323.24;-0.07;748.7;748.6;3.32;227.79;24.72;807.06;836.18;2.8
BGEM-0010-S/PHZ51;Testcross_Ames2015A;8.97;344.57;-0.07;748.7;748.6;3.57;246.58;21.57;802.63;825.87;5.4
BGEM-0011-S/PHZ51;Testcross_Ames2015A;9.32;332.94;-3.33;766.48;760.94;4.24;253.81;22.64;802.63;827.95;5.08
BGEM-0012-S/PHZ51;Testcross_Ames2015A;6.91;327.12;-3.63;754.76;748.6;3.49;245.14;18.77;798.32;816.35;3.41
BGEM-0013-S/PHZ51;Testcross_Ames2015A;7.19;338.75;-3.55;748.7;742.62;3.24;243.69;16.77;793.15;807.56;3.95
BGEM-0018-S/PHZ51;Testcross_Ames2015A;9.37;323.24;-5.1;780.13;771.66;3.39;256.7;29.32;820.69;858.02;5.98
BGEM-0019-S/PHZ51;Testcross_Ames2015A;9.58;342.63;-3.69;767.09;760.94;3.97;258.15;14.55;815.81;824.58;5.6
BGEM-0022-S/PHZ51;Testcross_Ames2015A;8.09;321.3;-6.95;772.65;760.94;3.22;235.02;22.72;822.05;846.42;4.86
BGEM-0023-S/PHZ51;Testcross_Ames2015A;7.4;338.75;3.54;754.76;760.94;2.94;239.36;30.68;811.37;851.88;4.47
BGEM-0024-S/PHZ51;Testcross_Ames2015A;8.63;342.63;-7.1;748.7;736.51;3.63;258.15;14.69;787.97;798.63;5
BGEM-0025-S/PHZ51;Testcross_Ames2015A;8.5;354.27;-3.63;754.76;748.6;3.8;262.48;18.77;802.63;820.4;4.69
BGEM-0026-S/PHZ51;Testcross_Ames2015A;8.15;323.24;-0.07;742.64;742.49;3.81;245.14;16.77;793.15;807.56;4.34
BGEM-0027-S/PHZ51;Testcross_Ames2015A;7.36;331;-3.69;767.09;760.94;3.49;245.14;28.73;820.69;856.86;3.87
